Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Fraud_indicator,Hour,DayOfWeek,State_code
Bus ,A-101,Express,Large,350,120,65,1,11,4,KA
Car,B-102,Regular,Small,120,100,78,1,14,5,KA
Motorcycle,D-104,Regular,Small,0,0,53,0,18,6,KA
Truck,C-103,Regular,Large,350,120,92,1,2,0,KA
Van,B-102,Express,Medium,140,100,60,1,6,1,KA
Sedan,A-101,Regular,Medium,160,100,105,1,10,2,KA
SUV,B-102,Express,Large,180,160,70,1,15,3,KA
Bus ,C-103,Regular,Large,350,90,88,1,20,4,KA
Car,A-101,Express,Small,120,0,45,1,1,5,KA
Motorcycle,D-104,Regular,Small,0,0,72,0,7,6,KA
Truck,C-103,Express,Large,350,120,58,1,12,0,KA
Van,B-102,Regular,Medium,140,120,81,1,17,1,KA
Sedan,A-101,Express,Medium,160,120,67,1,22,2,KA
SUV,B-102,Regular,Large,180,180,98,0,4,3,KA
Bus ,A-101,Express,Large,350,120,50,1,8,4,KA
Car,B-102,Regular,Small,120,90,75,1,13,5,KA
Motorcycle,D-104,Regular,Small,0,0,62,0,16,6,KA
Truck,C-103,Regular,Large,350,120,84,1,22,0,KA
Van,B-102,Express,Medium,140,120,55,1,2,1,KA
Sedan,A-101,Regular,Medium,160,160,80,0,7,2,KA
SUV,B-102,Express,Large,180,100,68,1,12,3,KA
Bus ,C-103,Regular,Large,350,350,90,0,15,4,KA
Car,A-101,Express,Small,120,90,48,1,21,5,KA
Motorcycle,D-104,Regular,Small,0,0,77,0,3,6,KA
Truck,C-103,Express,Large,350,120,63,1,7,0,KA
Van,B-102,Regular,Medium,140,140,87,0,11,1,KA
Sedan,A-101,Express,Medium,160,100,52,1,16,2,KA
SUV,B-102,Regular,Large,180,120,95,1,21,3,KA
Bus ,C-103,Express,Large,350,350,73,0,3,4,KA
Car,A-101,Regular,Small,120,120,82,0,8,5,KA
Motorcycle,D-104,Regular,Small,0,0,57,0,13,6,KA
Truck,C-103,Regular,Large,350,350,96,0,18,0,KA
Van,B-102,Express,Medium,140,100,66,1,23,1,KA
Sedan,A-101,Regular,Medium,160,160,89,0,5,2,KA
SUV,B-102,Express,Large,180,120,51,1,9,3,KA
Bus ,C-103,Regular,Large,350,350,76,0,14,4,KA
Car,A-101,Express,Small,120,0,61,1,17,5,KA
Motorcycle,D-104,Regular,Small,0,0,85,0,23,6,KA
Truck,C-103,Express,Large,350,350,74,0,4,0,KA
Van,B-102,Regular,Medium,140,90,93,1,8,1,KA
Sedan,A-101,Express,Medium,160,120,49,1,13,2,KA
SUV,B-102,Regular,Large,180,180,83,0,16,3,KA
Bus ,C-103,Express,Large,350,90,59,1,22,4,KA
Car,A-101,Regular,Small,120,90,91,1,4,5,KA
Motorcycle,D-104,Regular,Small,0,0,71,0,8,6,KA
Truck,C-103,Regular,Large,350,140,86,1,13,0,KA
Van,B-102,Express,Medium,140,90,56,1,18,1,KA
Sedan,A-101,Regular,Medium,160,160,79,0,22,2,KA
SUV,B-102,Express,Large,180,180,64,0,4,3,KA
Bus ,C-103,Regular,Large,350,120,97,1,8,4,KA
Car,A-101,Express,Small,120,120,69,0,13,5,KA
Motorcycle,D-104,Regular,Small,0,0,94,0,18,6,KA
Truck,C-103,Express,Large,350,100,54,1,23,0,KA
Van,B-102,Regular,Medium,140,140,81,0,5,1,KA
Sedan,A-101,Express,Medium,160,90,65,1,9,2,KA
SUV,B-102,Regular,Large,180,180,92,0,14,3,KA
Bus ,C-103,Express,Large,350,350,50,0,18,4,KA
Car,A-101,Regular,Small,120,90,75,1,23,5,KA
Motorcycle,D-104,Regular,Small,0,0,58,0,3,6,KA
Truck,C-103,Regular,Large,350,90,89,1,7,0,KA
Van,B-102,Express,Medium,140,90,44,1,12,1,KA
Sedan,A-101,Regular,Medium,160,160,78,0,16,2,KA
SUV,B-102,Express,Large,180,180,67,0,21,3,KA
Bus ,C-103,Regular,Large,350,350,95,0,3,4,KA
Car,A-101,Express,Small,120,90,55,1,8,5,KA
Motorcycle,D-104,Regular,Small,0,0,80,0,13,6,KA
Truck,C-103,Express,Large,350,350,62,0,18,0,KA
Van,B-102,Regular,Medium,140,90,87,1,23,1,KA
Sedan,A-101,Express,Medium,160,160,47,0,5,2,KA
SUV,B-102,Regular,Large,180,100,73,1,10,3,KA
Bus ,C-103,Express,Large,350,350,68,0,14,4,KA
Car,A-101,Regular,Small,120,120,91,0,19,5,KA
Motorcycle,D-104,Regular,Small,0,0,53,0,0,6,KA
Truck,C-103,Regular,Large,350,100,82,1,6,0,KA
Van,B-102,Express,Medium,140,110,56,1,11,1,KA
Sedan,A-101,Regular,Medium,160,90,84,1,15,2,KA
SUV,B-102,Express,Large,180,180,69,0,21,3,KA
Bus ,C-103,Regular,Large,350,350,94,0,2,4,KA
Car,A-101,Express,Small,120,100,49,1,6,5,KA
Motorcycle,D-104,Regular,Small,0,0,76,0,11,6,KA
Truck,C-103,Express,Large,350,350,63,0,16,0,KA
Van,B-102,Regular,Medium,140,120,88,1,21,1,KA
Sedan,A-101,Express,Medium,160,60,74,1,2,2,KA
SUV,B-102,Regular,Large,180,90,96,1,7,3,KA
Bus ,C-103,Express,Large,350,140,61,1,12,4,KA
Car,A-101,Regular,Small,120,60,85,1,16,5,KA
Motorcycle,D-104,Regular,Small,0,0,52,0,22,6,KA
Truck,C-103,Regular,Large,350,350,79,0,3,0,KA
Van,B-102,Express,Medium,140,140,66,0,7,1,KA
Sedan,A-101,Regular,Medium,160,160,90,0,12,2,KA
SUV,B-102,Express,Large,180,140,48,1,15,3,KA
Bus ,C-103,Regular,Large,350,90,77,1,21,4,KA
Car,A-101,Express,Small,120,90,60,1,2,5,KA
Motorcycle,D-104,Regular,Small,0,0,83,0,6,6,KA
Truck,C-103,Express,Large,350,350,71,0,11,0,KA
Van,B-102,Regular,Medium,140,90,97,1,15,1,KA
Sedan,A-101,Express,Medium,160,160,46,0,20,2,KA
SUV,B-102,Regular,Large,180,0,81,1,1,3,KA
Bus ,C-103,Express,Large,350,100,64,1,6,4,KA
Car,A-101,Regular,Small,120,120,93,0,11,5,KA
Motorcycle,D-104,Regular,Small,0,0,57,0,15,6,KA
Truck,C-103,Regular,Large,350,350,86,0,21,0,KA
Van,B-102,Express,Medium,140,90,55,1,3,1,KA
Sedan,A-101,Regular,Medium,160,160,82,0,7,2,KA
SUV,B-102,Express,Large,180,100,63,1,12,3,KA
Bus ,C-103,Regular,Large,350,350,90,0,16,4,KA
Car,A-101,Express,Small,120,120,48,0,22,5,KA
Motorcycle,D-104,Regular,Small,0,0,76,0,4,6,KA
Truck,C-103,Express,Large,350,100,58,1,8,0,KA
Van,B-102,Regular,Medium,140,140,87,0,13,1,KA
Sedan,A-101,Express,Medium,160,100,67,1,18,2,KA
SUV,B-102,Regular,Large,180,90,94,1,23,3,KA
Bus ,C-103,Express,Large,350,100,71,1,8,6,KA
Car,A-101,Regular,Small,120,120,89,0,12,0,KA
Motorcycle,D-104,Regular,Small,0,0,52,0,16,1,KA
Truck,C-103,Regular,Large,350,350,79,0,22,2,KA
Van,B-102,Express,Medium,140,120,66,1,5,3,KA
Sedan,A-101,Regular,Medium,160,160,95,0,11,4,KA
SUV,B-102,Express,Large,180,120,44,1,14,5,KA
Bus ,C-103,Regular,Large,350,350,78,0,18,6,KA
Car,A-101,Express,Small,120,90,61,1,2,0,KA
Motorcycle,D-104,Regular,Small,0,0,85,0,6,1,KA
Truck,C-103,Express,Large,350,350,49,0,10,2,KA
Van,B-102,Regular,Medium,140,90,74,1,15,3,KA
Sedan,A-101,Express,Medium,160,120,69,1,20,4,KA
SUV,B-102,Regular,Large,180,180,92,0,1,5,KA
Bus ,C-103,Express,Large,350,140,57,1,7,6,KA
Car,A-101,Regular,Small,120,120,83,0,12,0,KA
Motorcycle,D-104,Regular,Small,0,0,68,0,17,1,KA
Truck,C-103,Regular,Large,350,350,96,0,22,2,KA
Van,B-102,Express,Medium,140,90,46,1,4,3,KA
Sedan,A-101,Regular,Medium,160,120,81,1,8,4,KA
SUV,B-102,Express,Large,180,100,60,1,13,5,KA
Bus ,C-103,Regular,Large,350,180,88,1,16,6,KA
Car,A-101,Express,Small,120,0,53,1,22,0,KA
Motorcycle,D-104,Regular,Small,0,0,77,0,2,1,KA
Truck,C-103,Express,Large,350,350,64,0,7,2,KA
Van,B-102,Regular,Medium,140,140,91,0,12,3,KA
Sedan,A-101,Express,Medium,160,160,50,0,15,4,KA
SUV,B-102,Regular,Large,180,180,75,0,21,5,KA
Bus ,C-103,Express,Large,350,90,59,1,3,6,KA
Car,A-101,Regular,Small,120,90,84,1,7,0,KA
Motorcycle,D-105,Regular,Small,0,0,66,0,11,1,KA
Truck,C-103,Regular,Large,350,350,93,0,16,2,KA
Van,B-102,Express,Medium,140,100,45,1,21,3,KA
Sedan,A-101,Regular,Medium,160,160,80,0,3,4,KA
SUV,B-102,Express,Large,180,180,62,0,8,5,KA
Bus ,C-103,Regular,Large,350,180,86,1,13,6,KA
Car,A-101,Express,Small,120,120,51,0,18,0,KA
Motorcycle,D-105,Regular,Small,0,0,73,0,23,1,KA
Truck,C-103,Express,Large,350,100,56,1,5,2,KA
Van,B-102,Regular,Medium,140,140,82,0,9,3,KA
Sedan,A-101,Express,Medium,160,100,70,1,14,4,KA
SUV,B-102,Regular,Large,180,180,97,0,17,5,KA
Bus ,C-103,Express,Large,350,180,47,1,23,6,KA
Car,A-101,Regular,Small,120,180,84,1,4,0,KA
Motorcycle,D-105,Regular,Small,0,0,65,0,8,1,KA
Truck,C-103,Regular,Large,350,180,92,1,13,2,KA
Van,B-102,Express,Medium,140,120,53,1,16,3,KA
Sedan,A-101,Regular,Medium,160,160,79,0,22,4,KA
SUV,B-102,Express,Large,180,160,61,1,4,5,KA
Bus ,C-103,Regular,Large,350,180,89,1,8,6,KA
Car,A-101,Express,Small,120,120,44,0,13,0,KA
Motorcycle,D-105,Regular,Small,0,0,78,0,18,1,KA
Truck,C-103,Express,Large,350,100,67,1,22,2,KA
Van,B-102,Regular,Medium,140,90,95,1,4,3,KA
Sedan,A-101,Express,Medium,160,160,55,0,8,4,KA
SUV,B-102,Regular,Large,180,120,80,1,13,5,KA
Bus ,C-103,Express,Large,350,350,62,0,18,6,KA
Car,A-101,Regular,Small,120,120,87,0,23,0,KA
Motorcycle,D-105,Regular,Small,0,0,47,0,5,1,KA
Truck,C-103,Regular,Large,350,120,73,1,9,2,KA
Van,B-102,Express,Medium,140,100,68,1,14,3,KA
Sedan,A-101,Regular,Medium,160,90,91,1,18,4,KA
SUV,B-102,Express,Large,180,90,52,1,23,5,KA
Bus ,C-103,Regular,Large,350,90,82,1,3,6,KA
Car,A-101,Express,Small,120,120,56,0,7,0,KA
Motorcycle,D-105,Regular,Small,0,0,84,0,12,1,KA
Truck,C-103,Express,Large,350,350,69,0,16,2,KA
Van,B-102,Regular,Medium,140,120,94,1,21,3,KA
Sedan,A-101,Express,Medium,160,120,49,1,3,4,KA
SUV,B-102,Regular,Large,180,180,76,0,8,5,KA
Bus ,C-103,Express,Large,350,350,63,0,13,6,KA
Car,A-101,Regular,Small,120,120,88,0,18,0,KA
Motorcycle,D-105,Regular,Small,0,0,74,0,23,1,KA
Truck,C-103,Regular,Large,350,120,96,1,5,2,KA
Van,B-102,Express,Medium,140,100,61,1,10,3,KA
Sedan,A-101,Regular,Medium,160,160,85,0,14,4,KA
SUV,B-102,Express,Large,180,180,52,0,19,5,KA
Bus ,C-103,Regular,Large,350,350,79,0,0,6,KA
Car,A-101,Express,Small,120,120,66,0,6,0,KA
Motorcycle,D-105,Regular,Small,0,0,90,0,11,1,KA
Truck,C-103,Express,Large,350,350,48,0,15,2,KA
Van,B-102,Regular,Medium,140,140,77,0,21,3,KA
Sedan,A-101,Express,Medium,160,160,60,0,2,4,KA
SUV,B-102,Regular,Large,180,90,83,1,6,5,KA
Bus ,C-103,Express,Large,350,160,71,1,11,6,KA
Car,A-101,Regular,Small,120,120,97,0,16,0,KA
Motorcycle,D-105,Regular,Small,0,0,46,0,21,1,KA
Truck,C-103,Regular,Large,350,100,81,1,2,2,KA
Van,B-102,Express,Medium,140,140,64,0,7,3,KA
Sedan,A-101,Regular,Medium,160,160,93,0,8,6,KA
SUV,B-102,Express,Large,180,120,57,1,12,0,KA
Bus ,C-103,Regular,Large,350,100,86,1,16,1,KA
Car,A-101,Express,Small,120,120,55,0,22,2,KA
Motorcycle,D-105,Regular,Small,0,0,82,0,5,3,KA
Truck,C-103,Express,Large,350,90,63,1,11,4,KA
Van,B-102,Regular,Medium,140,120,90,1,14,5,KA
Sedan,A-101,Express,Medium,160,160,48,0,18,6,KA
SUV,B-102,Regular,Large,180,180,76,0,2,0,KA
Bus ,C-103,Express,Large,350,350,58,0,6,1,KA
Car,A-101,Regular,Small,120,0,87,1,10,2,KA
Motorcycle,D-105,Regular,Small,0,0,67,0,15,3,KA
Truck,C-103,Regular,Large,350,120,94,1,20,4,KA
Van,B-102,Express,Medium,140,140,71,0,1,5,KA
Sedan,A-101,Regular,Medium,160,60,89,1,7,6,KA
SUV,B-102,Express,Large,180,140,52,1,12,0,KA
Bus ,C-103,Regular,Large,350,350,79,0,17,1,KA
Car,A-101,Express,Small,120,120,66,0,22,2,KA
Motorcycle,D-105,Regular,Small,0,0,95,0,4,3,KA
Truck,C-103,Express,Large,350,350,44,0,8,4,KA
Van,B-102,Regular,Medium,140,100,78,1,13,5,KA
Sedan,A-101,Express,Medium,160,60,61,1,16,6,KA
SUV,B-102,Regular,Large,180,180,85,0,22,0,KA
Bus ,C-103,Express,Large,350,100,49,1,2,1,KA
Car,A-101,Regular,Small,120,120,74,0,7,2,KA
Motorcycle,D-105,Regular,Small,0,0,69,0,12,3,KA
Truck,C-103,Regular,Large,350,350,92,0,15,4,KA
Van,B-102,Express,Medium,140,90,57,1,21,5,KA
Sedan,A-101,Regular,Medium,160,60,83,1,3,6,KA
SUV,B-102,Express,Large,180,180,68,0,7,0,KA
Bus ,C-103,Regular,Large,350,350,96,0,11,1,KA
Car,A-101,Express,Small,120,120,46,0,16,2,KA
Motorcycle,D-105,Regular,Small,0,0,81,0,21,3,KA
Truck,C-103,Express,Large,350,350,60,0,3,4,KA
Van,B-102,Regular,Medium,140,140,88,0,8,5,KA
Sedan,A-101,Express,Medium,160,160,53,0,13,6,KA
SUV,B-102,Regular,Large,180,180,77,0,18,0,KA
Bus ,C-103,Express,Large,350,350,64,0,23,1,KA
Car,A-101,Regular,Small,120,120,91,0,5,2,KA
Motorcycle,D-105,Regular,Small,0,0,50,0,9,3,KA
Truck,C-103,Regular,Large,350,350,75,0,14,4,KA
Van,B-102,Express,Medium,140,140,59,0,17,5,KA
Sedan,A-101,Regular,Medium,160,140,84,1,23,6,KA
SUV,B-102,Express,Large,180,100,66,1,4,0,KA
Bus ,C-103,Regular,Large,350,350,93,0,8,1,KA
Car,A-101,Express,Small,120,120,45,0,13,2,KA
Motorcycle,D-105,Regular,Small,0,0,80,0,16,3,KA
Truck,C-103,Express,Large,350,160,62,1,22,4,KA
Van,B-102,Regular,Medium,140,120,86,1,4,5,KA
Sedan,A-101,Express,Medium,160,160,51,0,8,6,KA
SUV,B-102,Regular,Large,180,160,73,1,13,0,KA
Bus ,C-103,Express,Large,350,350,56,0,18,1,KA
Car,A-101,Regular,Small,120,120,82,0,22,2,KA
Motorcycle,D-105,Regular,Small,0,0,70,0,4,3,KA
Truck,C-103,Regular,Large,350,350,97,0,8,4,KA
Van,B-102,Express,Medium,140,140,47,0,13,5,KA
Sedan,A-101,Regular,Medium,160,160,84,0,18,6,KA
SUV,B-102,Express,Large,180,100,65,1,23,0,KA
Bus ,C-103,Regular,Large,350,350,92,0,5,1,KA
Car,A-101,Express,Small,120,120,53,0,9,2,KA
Motorcycle,D-105,Regular,Small,0,0,79,0,14,3,KA
Truck,C-103,Express,Large,350,100,61,1,18,4,KA
Van,B-102,Regular,Medium,140,140,89,0,23,5,KA
Sedan,A-101,Express,Medium,160,160,44,0,3,6,KA
SUV,B-102,Regular,Large,180,140,78,1,7,0,KA
Bus ,C-103,Express,Large,350,350,67,0,12,1,KA
Car,A-101,Regular,Small,120,120,95,0,16,2,KA
Motorcycle,D-105,Regular,Small,0,0,55,0,21,3,KA
Truck,C-103,Regular,Large,350,350,80,0,3,4,KA
Van,B-102,Express,Medium,140,140,62,0,8,5,KA
Sedan,A-101,Regular,Medium,160,160,87,0,13,6,KA
SUV,B-102,Express,Large,180,180,47,0,18,0,KA
Bus ,C-103,Regular,Large,350,350,73,0,23,1,KA
Car,A-101,Express,Small,120,120,68,0,5,2,KA
Motorcycle,D-105,Regular,Small,0,0,91,0,10,3,KA
Truck,C-103,Express,Large,350,350,52,0,14,4,KA
Van,B-102,Regular,Medium,140,140,82,0,19,5,KA
Sedan,A-101,Express,Medium,160,160,56,0,0,6,KA
SUV,B-102,Regular,Large,180,180,84,0,6,0,KA
Bus ,C-103,Express,Large,350,120,69,1,11,1,KA
Car,A-101,Regular,Small,120,120,94,0,15,2,KA
Motorcycle,D-105,Regular,Small,0,0,49,0,21,3,KA
Truck,C-103,Regular,Large,350,100,76,1,2,4,KA
Van,B-102,Express,Medium,140,120,63,1,6,5,KA
Sedan,A-101,Regular,Medium,160,90,88,1,11,6,KA
SUV,B-102,Express,Large,180,120,74,1,16,0,KA
Bus ,C-103,Regular,Large,350,350,96,0,21,1,KA
Car,A-101,Express,Small,120,120,61,0,2,2,KA
Motorcycle,D-105,Regular,Small,0,0,85,0,7,3,KA
Truck,C-103,Express,Large,350,350,52,0,12,4,KA
Van,B-102,Regular,Medium,140,140,79,0,16,5,KA
Sedan,A-101,Express,Medium,160,120,66,1,22,6,KA
SUV,B-102,Regular,Large,180,90,90,1,3,0,KA
Bus ,C-103,Express,Large,350,350,48,0,7,1,KA
Car,A-101,Regular,Small,120,120,77,0,12,2,KA
Motorcycle,D-105,Regular,Small,0,0,60,0,15,3,KA
